date,status,cycles_run,trades_closed,winners,win_rate,total_pnl,avg_pnl,regime,top_winner,top_loser,notes
2026-03-28,SKIPPED_NO_DOCKER,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,"Sandbox VM lacks Docker - cannot start postgres or run training. Last run data (2026-03-27): 100 cycles, 132 trades, 47.7% WR, -$17.34 PnL"
2026-03-27,COMPLETED_FROM_CSV,100,132,63,47.7%,-17.34,-0.13,unknown,SOLUSDT long (+$59.52),ETHUSDT long (-$30.43),Backfilled from v10_trades.csv. Negative PnL driven by ETH long and DOT short.
2026-03-29,SKIPPED_NO_DOCKER,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,"Sandbox VM lacks Docker - cannot start postgres or run training. Last completed run (2026-03-28): 200 cycles, 16 trades, 50.0% WR, +$67.22 PnL, profit factor 8.3"
2026-03-30,SKIPPED_NO_DOCKER,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,"Sandbox VM lacks Docker - cannot start postgres or run training. Last completed run (2026-03-28): 100 cycles, 29 trades (all shorts), 41.4% WR, +$24.15 PnL, profit factor 1.34. 2026-03-29 host run: 45/100 cycles completed, 0 trades (all sit-outs, regime=unknown). Top winner: DOTUSDT short (+$34.78). Top loser: AVAXUSDT short (-$12.76)."
2026-03-31,COMPLETED_FROM_CSV,180,88,34,40.0%,-316.14,-3.59,crisis/normal (49%/49%),SOLUSDT short (+$18.96),ETHUSDT short (-$37.80),"v30 host run analyzed from CSV. 180 cycles, 88 trades (all shorts). PF=0.31. Heavy losses in crisis regime cycles 150-170. ETH short worst performer (-$146.93 cumulative). BNB best of three (-$42.08). Recommend: reduce position sizing in crisis regime, add ETH long bias filter, tighten stops on SOL/ETH shorts when regime flips crisis→normal."
2026-04-01,SKIPPED_NO_DOCKER,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,"Sandbox VM lacks Docker - cannot start postgres or run training. Last completed run (2026-03-31 v32): 200 cycles, 94 trades closed (all shorts: DOTUSDT/AVAXUSDT), 21.3% WR (full) / 46.5% WR (non-zero PnL only, 43 trades), -$61.27 PnL, PF=0.79. Regime: 52 normal, 26 crisis, 16 high_vol. DOTUSDT short worst performer (-$62.84 cumulative). AVAXUSDT short near breakeven (+$1.57). PnL turned negative after cycle 110 in crisis regime and never recovered. Recommend: halt DOTUSDT short in crisis regime, reduce position sizing cycles 100+, add long bias filter for mean-reversion after extended drawdown."
2026-04-02,PARTIAL_FROM_CSV,15,9,0,0.0%,-7.91,-7.91,normal/crisis,N/A,DOTUSDT short (-$7.91),"v37 host run: only 15/100 cycles completed (likely cut short). 9 trades closed (all shorts: DOTUSDT/MATICUSDT/ADAUSDT), 8 zero-PnL, 1 loser (DOTUSDT short -$7.91). Regime flipped normal→crisis at cycle 15. PF=0.00. Very low activity — most trades flat (entry==exit). Recommend: investigate why run stopped at 15 cycles, check exchange connectivity and data freshness. Prior v36 run (Apr 1) was profitable: 200 cycles, 102 trades, +$75.88 PnL, PF=1.615."
2026-04-03,SKIPPED_NO_DOCKER,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,"Sandbox VM lacks Docker/Python 3.11 - cannot start postgres or run training. Yesterday v43 run (2026-04-02): 200 cycles, 40 trades closed (34 ETHUSDT long, 3 DOTUSDT short, 3 MATICUSDT short), 35.0% WR (43.8% non-zero), +$12.41 PnL, PF=1.099. Crisis regime profitable (+$74.94), normal regime lost (-$62.53). ETHUSDT long best performer (+$28.84). DOTUSDT short worst (-$16.43). Recommend: review why normal regime trades are underperforming vs crisis regime."
2026-04-05,COMPLETED_FROM_CSV,200,103,32,31.1%,31.97,0.31,normal/crisis/high_vol (58/22/23),DOTUSDT short (+$21.69),ETHUSDT long (-$0.34),"Sandbox VM lacks Docker - analyzed v48 host run from CSV (2026-04-04). 200 cycles, 103 trades closed, 31.1% WR, +$31.97 PnL, PF=1.34. Long/short split: 69 long / 34 short. Best: DOTUSDT short (+$21.69, 6/17 wins). Worst: ETHUSDT long (-$0.34, 16/35 wins near breakeven). MATICUSDT short flat (0/17, all zero-PnL). LINKUSDT long +$10.61 (10/34). Regime PnL: normal +$16.49, high_vol +$17.06, crisis -$1.58. Conviction filter rate 58.3%, ring1 pass 100%. Recommend: investigate why MATICUSDT short produced 17 zero-PnL trades (possible entry==exit issue), consider tightening ETHUSDT long filters in normal regime."
2026-04-06,SKIPPED_NO_DOCKER,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,"Sandbox VM lacks Docker/Postgres and has only Python 3.10 (omega requires 3.11+ for datetime.UTC). Training script preflight failed with ImportError: cannot import name UTC from datetime. No new host run data since v48 (2026-04-04) — that run was already analyzed on 2026-04-05 (200 cycles, 103 trades, 31.1% full WR / 57.1% non-zero WR (56 trades), +$31.97 PnL, PF=1.34). Per-(symbol,side) PnL on non-zero trades: DOTUSDT short +$21.69 (6/7 wins), LINKUSDT long +$10.61 (10/18), ETHUSDT long -$0.34 (16/31 near breakeven). 47/103 trades had pnl=0 (entry==exit, mostly MATICUSDT short). Recommendations: (1) host-side investigate MATICUSDT short entry/exit identity bug producing zero-PnL fills, (2) tighten ETHUSDT long filters in normal regime (breakeven drag), (3) increase DOTUSDT short allocation in crisis regime (best PF), (4) resolve Python 3.10 constraint in scheduled-task sandbox or move training to user host cron."
